Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Richard Branson,73,$2.1B,Diversified,Virgin,"co-founded, Business magnate, Author","Virgin Group, Virgin Atlantic · See more",TRUE,,,"Necker Island, British Virgin Islands",United Kingdom,M,Married,2,"Drop Out, High School"
Nicola Bulgari,83,$2.1B,Fashion & Retail,Luxury goods,"businessman, Vice chairman",Bulgari,FALSE,,,"Rome, Italy",Italy,M,N/A,4,"Diploma, High School"
Chang Kuo-Hua,69,$2.1B,Logistics,"Shipping, airlines","businessman, inherited stakes , sits on the board","shipping tycoon Chang Yung Fa, EVA Airways and hotels, Evergreen Marine.",FALSE,,,"Taipei, Taiwan",Taiwan,M,Married,N/A,"Bachelor of Engineering, Taipei University of Marine Technology"
Chen Jinxia,56,$2.1B,Finance & Investments,Investments,inherited a controlling interest,Hunan Yongjin Group,FALSE,,,"Shanghai, China",China,F,Widowed,N/A,"Bachelor of Arts/Science, Shanghai University of Finance and Economics"
Chen Shibin,57,$2.1B,Manufacturing,Quartz products,"Chairman, President",Jiangsu Pacific Quartz Co Ltd,TRUE,,,"Lianyungang, China",China,M,N/A,N/A,N/A
Jack Cockwell,83,$2.1B,Finance & Investments,"Real estate, private equity",Board Appointee member,Toronto Metropolitan University's Board of Governors,TRUE,,,"Toronto, Canada",Canada,M,N/A,N/A,"Master of Commerce, University of Cape Town"
Kommer Damen,80,$2.1B,Manufacturing,Shipbuilding,chairman,Damen Shipyards,FALSE,,,"Gorinchem, Netherlands",Netherlands,M,Married,4,N/A
Jamie Dimon,68,$2.1B,Finance & Investments,Banking,CEO,JPMorgan Chase & Co.,TRUE,,,"New York, New York",United States,M,Married,3,"Master of Business Administration, Harvard Business School"
James Dinan,64,$2.1B,Finance & Investments,Hedge funds,Founder,York Capital Management,TRUE,8,2,"North Salem, New York",United States,M,Married,3,"Master of Business Administration, Harvard University; Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Domenico Dolce,65,$2.1B,Fashion & Retail,Luxury goods,designer and entrepreneur,Dolce & Gabbana,TRUE,,,"Milan, Italy",Italy,M,Single,N/A,N/A
Georgi Domuschiev,51,$2.1B,Diversified,"Animal health, investments",co-owner,Bulgarian investment conglomerate Advance Properties,TRUE,,,"London, United Kingdom",Bulgaria,M,N/A,N/A,"Bachelor of Science, University of National and World Economy"
Kiril Domuschiev,54,$2.1B,Diversified,"Animal health, investments","industrialist, entrepreneur and owner",PFC Ludogorets Razgrad,TRUE,,,"London, United Kingdom",Bulgaria,M,Married,N/A,"Master of Science, Technical University of Sofia"
Alfredo Egydio Arruda Villela Filho,54,$2.1B,Finance & Investments,Banking,"Executive and businessman, president and largest shareholder",Itaúsa Group,FALSE,,,"Sao Paulo, Brazil",Brazil,M,Married,N/A,"Master of Business Administration, Fundacao Getulio Vargas; Bachelor of Engineering, Instituto Maua de Tecnologia"
Pinckaers Fabien,45,$2.1B,Technology,Software,owns,Odoo,TRUE,,,"Saint-Denis-Bovesse, Belgium",Belgium,M,Married,2,"Bachelor of Science, Catholic University of Louvain"
Miguel Fluxa Rossello,85,$2.1B,Service,Hotels,"businessman, chairman and 100% owner , CEO","Grupo Iberostar, Camper",FALSE,,,"Esporles, Spain",Spain,M,Married,2,N/A
Richard Fortin,75,$2.1B,Fashion & Retail,Convinience stores,"businessman, and a director, co-founder and former chief financial officer and chairman",convenience store chain Couche-Tard,TRUE,,,"Boucherville, Canada",Canada,M,N/A,N/A,"Bachelor of Science, Université Laval"
Stefano Gabbana,61,$2.1B,Fashion & Retail,Luxury goods,"fashion designer , co-founder",Dolce & Gabbana,TRUE,,,"Milan, Italy",Italy,M,Single,N/A,"Bachelor of Arts/Science, Istituto Superiore di Industrie Artistiche"
Gordon Getty,90,$2.1B,Energy,Getty Oil,President and Chairman,Ann & Gordon Getty Foundation,FALSE,2,3,"San Francisco, California",United States,M,Widowed,7,"Bachelor of Arts/Science, San Francisco Conservatory of Music"
David Golub,61,$2.1B,Finance & Investments,Private equity,President and CEO,Golub Capital,TRUE,7,,"New York, New York",United States,M,N/A,N/A,"Bachelor of Arts/Economics, Harvard College; Master of Philosophy, Oxford University; Master of Business Administration, Stanford Business School"
John Hancock,48,$2.1B,Metals & Mining,Mining,Businessman,mining magnate,FALSE,,,"London, United Kingdom",Australia,M,Married,3,"Master of Business Administration, University of Notre Dame"
Bahaa Hariri,57,$2.1B,Real Estate,"Real estate, investments","businessman, majority owner , founded","Globe Express Services, Horizon Group,",FALSE,,,"Geneva, Switzerland",Lebanon,M,Married,N/A,"Bachelor of Arts/Science, Boston University"
Gerry Harvey,84,$2.1B,Fashion & Retail,Retail,"entrepreneur, executive chairman , co-founded, Co-owner","Harvey Norman Holdings, Magic Millions",TRUE,,,"Sydney, Australia",Australia,M,Married,4,N/A
"B. Wayne Hughes, Jr.",64,$2.1B,Real Estate,Storage facilities,"businessman and philanthropist, founded, member of the Board","Commercial Equities, Trustees of Public Storage",FALSE,,,"Jackson, Wyoming",United States,M,Married,N/A,"Bachelor of Arts/Science, University of Southern California"
Hui Wing Mau,73,$2.1B,Real Estate,Real estate,"entrepreneur, founder, chairman",Shimao group,TRUE,,,"Hong Kong, Hong Kong",Hong Kong,M,Married,2,"Master of Business Administration, University of South Australia"
Valentin Kipyatkov,47,$2.1B,Technology,Software,co-founded,JetBrains,TRUE,,,"Peyia, Cyprus",Cyprus,M,Married,1,"Master of Science, Saint Petersburg State University"
Heikki Kyostila,78,$2.1B,Healthcare,Dental products,"founder, owner, president",dental equipment maker Planmeca,TRUE,,,"Helsinki, Finland",Finland,M,N/A,N/A,N/A
Joe Lacob,68,$2.1B,Sports,Golden State Warriors,"Executive chairman , majority owner","Golden State Warriors, Golden State Warriors of the National Basketball Association and Golden State Valkyries of the Women's National Basketball Association",TRUE,,,"Atherton, California",United States,M,Married,4,"Master of Business Administration, Stanford University; Masters of Public Health, UCLA; Bachelor of Arts/Science, University of California, Irvine"
Aerin Lauder,53,$2.1B,Fashion & Retail,Estee Lauder,Creative Director,Estée Lauder Companies,FALSE,4,,"New York, New York",United States,F,Married,2,"Bachelor of Arts/Science, University of Pennsylvania"
Lee Dong-chae,64,$2.1B,Manufacturing,Chemicals,"businessman, founder and largest shareholder",Eco Pro [ko],TRUE,,,"Cheongju, South Korea",South Korea,M,N/A,N/A,"Bachelor of Science, Yeungnam University"
Yin Yee Lee,72,$2.1B,Manufacturing,Glass,"businessman, founder and chairman",Xinyi Glass and Xinyi Solar,TRUE,,,"Hong Kong, Hong Kong",China,M,N/A,N/A,"Doctorate, Universiti Teknikal Malaysia Melaka"
James Leprino,86,$2.1B,Food & Beverage,Cheese,Chairman,Leprino Foods,FALSE,5,1,"Indian Hills, Colorado",United States,M,Married,2,"High School Graduate, High School"
Liang Yunchao,55,$2.1B,Food & Beverage,Nutritional supplements,chairman,By-health,TRUE,,,"Guangzhou, China",China,M,Married,2,"Master of Business Administration, Sun Yat-sen University; Bachelor of Arts/Science, Zhongnan University of Economics and Law"
Harald Link,69,$2.1B,Diversified,Diversified,"businessman, industrialist, and philanthropist, chairman, CEO, and owner",B.Grimm of Bangkok,FALSE,,,"Bangkok, Thailand",Thailand,M,Married,2,"Master of Business Administration, University of St Gallen"
Igor Makarov,61,$2.1B,Energy,Investments,President,ARETI International Group,TRUE,,,"Miami, Florida",Cyprus,M,Married,2,"Bachelor of Arts/Science, Turkmen State University"
Pawel Marchewka,N/A,$2.1B,Technology,Videogames,"entrepreneur, founder and CEO","polish videogame company, Techland",TRUE,,,N/A,Poland,M,N/A,N/A,N/A
Joao Roberto Marinho,70,$2.1B,Media & Entertainment,Media,"businessman, chairman of the Editorial Board and vice president",Globo Organizations,FALSE,,,"Rio de Janeiro, Brazil",Brazil,M,Married,3,N/A
Jose Roberto Marinho,68,$2.1B,Media & Entertainment,Media,"businessman, president , vice-president","Roberto Marinho Foundation, Grupo Globo",FALSE,,,"Rio de Janeiro, Brazil",Brazil,M,Married,5,N/A
Fernando Masaveu Herrero,57,$2.1B,Diversified,Diversified,"Chairman, Advisor","Masaveu Corporation, Audit Committee, Cementos Anónima Tudela Veguín, Masaveu International, Hidrocantábrico, Naturgas Energía, Bankinter",FALSE,,,"Oveido, Spain",Spain,M,Married,3,"Law Degree, University of Navarra"
Ni Yongpei & family,72,$2.1B,Food & Beverage,Beverages,Chairman,"Anhui Yingjia Group Co., Ltd, Anhui Yingjia Distillery Co., Ltd",TRUE,,,"Liuan, China",China,M,Married,N/A,N/A
Alberto Palatchi,74,$2.1B,Fashion & Retail,Wedding dresses,"businessman, founder, former owner",Pronovias,TRUE,,,"Madrid, Spain",Spain,M,Separated,3,N/A
Mrudula Parekh,76,$2.1B,Manufacturing,Adhesives,"widow, minority stake",Pidilite Industries,FALSE,,,"Mumbai, India",India,F,Widowed,2,"Bachelor of Science, Indian Institute of Technology Bombay"
Qian Dongqi,66,$2.1B,Manufacturing,Home-cleaning robots,Founder and President,"ECOVACS Robotics, Inc",TRUE,,,"Suzhou, China",China,M,Married,1,"Master of Philosophy, Nanjing University"
Jerry Reinsdorf,88,$2.1B,Sports,Sports teams,"sports executive and businessman, owner , chairperson",NBA's Chicago Bulls and MLB's Chicago White Sox,TRUE,,,"Chicago, Illinois",United States,M,Married,4,"Bachelor of Arts/Science, George Washington University; Law Degree, Northwestern University"
Bianca Rinehart,47,$2.1B,Metals & Mining,Mining,"trusty, daughter",Hope Margaret Hancock Trust,FALSE,,,"Brisbane, Australia",Australia,F,Married,2,N/A
Ginia Rinehart,37,$2.1B,Metals & Mining,Mining,beneficiary,mining mogul Gina Rinehart,FALSE,,,"Sydney, Australia",Australia,F,Married,N/A,N/A
Fernando Roig,76,$2.1B,Fashion & Retail,Supermarkets,"businessman, the owner and president ,owner and president , owner of 9%","Spanish football club Villarreal CF, ceramic company Pamesa, supermarket chain Mercadona",FALSE,,,"Valencia, Spain",Spain,M,Married,2,N/A
Bennett Rosenthal,60,$2.1B,Finance & Investments,Finance,"Co-Founder and a Director , Chairman , member of the Ares , Co-Chairman, board member","Ares Management Corporation, Private Equity Group , LAFC Foundation",TRUE,,,"Los Angeles, California",United States,M,Married,N/A,"Bachelor of Science, University of Pennsylvania; Master of Business Administration, University of Pennsylvania, Wharton School of Business"
T. Denny Sanford,88,$2.1B,Finance & Investments,"Banking, credit cards","businessman and philanthropist, founder, chairman and chief executive officer","First Premier Bank, United National",TRUE,9,,"Sioux Falls, South Dakota",United States,M,Divorced,2,"Bachelor of Arts/Science, University of Minnesota"
Stephan Schmidheiny,76,$2.1B,Finance & Investments,Investments,"businessman, industrialist, philanthropist, prominent member",Schmidheiny family,FALSE,,,"Hurden, Switzerland",Switzerland,M,Married,2,"Doctorate, University of Zurich"
Thaksin Shinawatra,74,$2.1B,Finance & Investments,Investments,"politician, businessman, Former Prime Minister","Shin Corporation, Thai Rak Thai Party, Thailand",TRUE,,,"Dubai, United Arab Emirates",Thailand,M,Divorced,3,"Master of Science, Eastern Kentucky University"
Alexander Skorobogatko,56,$2.1B,Logistics,"Real estate, airport","former deputy member , Deputy Chairman","State Duma , Committee on Civil, Criminal, Arbitral and Procedural Law",TRUE,,,"Moscow, Russia",Russia,M,Divorced,3,"Master of Science, Plekhanov Russian University of Economics"
Zakhar Smushkin,62,$2.1B,Diversified,"Pulp and paper, diversified",entrepreneur,Russian pulp and paper mills,TRUE,,,"Saint Petersburg, Russia",Russia,M,Married,1,"Master of Science, Leningrad Technological Institute of Pulp and Paper Industry"
Zygmunt Solorz,67,$2.1B,Media & Entertainment,TV broadcasting,"businessman, media tycoon, controlled","Polsat, Cyfrowy Polsat, Polkomtel, Netia, Elektrim and Interia",TRUE,,,"Warsaw, Poland",Poland,M,Divorced,3,N/A
Peter Sondakh,74,$2.1B,Finance & Investments,Investments,"businessman, founded , head","Rajawali Corpora, Rajawali Property Group",TRUE,,,"Surabaya, Indonesia",Indonesia,M,Married,4,N/A
Elizabeth Sy,71,$2.1B,Diversified,Diversified,"advisor , Chairperson and President","SM Investments, SM Hotels",FALSE,,,"Manila, Philippines",Philippines,F,N/A,N/A,"Bachelor of Business Administration, Maryknoll College"
Katsumi Tada,78,$2.1B,Real Estate,Real estate,"Real estate developer, founder",Daito Trust Construction,TRUE,,,"Tokyo, Japan",Japan,M,Married,3,N/A
Hermanto Tanoko,61,$2.1B,Manufacturing,Paints,"businessman, President Commissioner, own","Avia Avian, empire Tancorp",FALSE,,,"Surabaya, Indonesia",Indonesia,M,Married,4,"Master of Management, STIE IBMT School of Management Surabaya"
Wichai Thongtang,77,$2.1B,Finance & Investments,Investments,Lawyer-turned-investor,Bangkok Dusit Medical Services,TRUE,,,"Bangkok, Thailand",Thailand,M,Widowed,4,"Bachelor of Law, Thammasat University, Master of Political Science, Thammasat University"
Ion Tiriac,84,$2.1B,Finance & Investments,"Banking, insurance","businessman and former professional , president","tennis and ice hockey player, Romanian Tennis Federation",TRUE,,,"Bucharest, Romania",Romania,M,Single,2,N/A
Jonathan Tisch,70,$2.1B,Diversified,"Loews, New York Giants","businessman, Chairperson",Loews Hotels,FALSE,,,"New York, New York",United States,M,Married,2,"Bachelor of Arts, Tufts University"
Barbara Tyson,75,$2.1B,Food & Beverage,Food processing,"inherited , retired vice president","Tyson Foods,",FALSE,3,1,"Fayetteville, Arkansas",United States,F,Widowed,N/A,N/A
Vardis Vardinoyannis & family,91,$2.1B,Energy,Oil and gas,"shipping businessman, former chairman and controlling shareholder",Motor Oil Hellas and Vegas Oil and Gas,TRUE,,,"Athens, Greece",Greece,M,N/A,5,"Bachelor of Science, Hellenic Naval Academy"
Jitendra Virwani,58,$2.1B,Real Estate,Real estate,"Chairman & Managing Director , Chairman","Master of Business Administrationssy Property Development, Master of Business Administrationssy Office Parks",FALSE,,,"Bangalore, India",India,M,Married,4,"Bachelor of Commerce, Bangalore University"
Hope Welker,38,$2.1B,Metals & Mining,Mining,beneficiary of a trust,mining giant Hancock Prospecting,FALSE,,,"New York, New York",Australia,F,Divorced,2,N/A
Elaine Wynn,81,$2.1B,Gambling & Casinos,"Casinos, hotels",Board Member,"Wynn Las Vegas, LLC",TRUE,8,3,"Las Vegas, Nevada",United States,F,Divorced,2,"Bachelor of Arts/Science, George Washington University"
Tony Xu,39,$2.1B,Technology,food delivery service,businessman and the co-founder and CEO,DoorDash,TRUE,9,,"San Francisco, California",United States,M,Married,N/A,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of California, Berkeley"
George Yancopoulos,64,$2.1B,Healthcare,Pharmaceuticals,"biomedical scientist, co founder , president and chief scientific officer , member","Regeneron Pharmaceuticals, National Academy of Sciences",TRUE,,,"Yorktown Heights, New York",United States,M,Divorced,2,"Medical Doctor, Columbia University; Doctorate, Columbia University"
Steven Meng Yang & family,41,$2.1B,Technology,Electronics,founder and CEO,Anker Innovations Technology,TRUE,,,"Changsha, China",China,M,Married,N/A,"Bachelor of Arts/Science, Peking University; Masters of Science in Technology, The University of Texas, Austin"
Clayton Zekelman,55,$2.1B,Manufacturing,Steel,President and Owner,Nexicom Inc,FALSE,,,"Windsor, Canada",Canada,M,N/A,N/A,N/A
Zhou Hongyi,53,$2.1B,Technology,Security software,"Chairperson, co-founder, chairman, CEO",Qihoo 360,TRUE,,,"Beijing, China",China,M,Married,N/A,"Bachelor of Science, Xi'an Jiaotong University; Master of Science, Xi'an Jiaotong University"
Zhu Zhaojiang,50,$2.1B,Manufacturing,Smartphones,"Businessman, president",Transsion Holdings,TRUE,,,"Shenzhen, China",China,M,N/A,N/A,N/A
Boris Zingarevich,64,$2.1B,Diversified,"Pulp and paper, diversified",Russian entrepreneur and investor,N/A,TRUE,,,"Saint Petersburg, Russia",Russia,M,Married,2,"Master of Science, Leningrad Technological Institute of Pulp and Paper Industry"
A. Jayson Adair,54,$2B,Automotive,Damaged cars,"businessman, and the chief executive officer",Copart,TRUE,,,"Dallas, Texas",United States,M,Married,2,N/A
Amy Adams Strunk,68,$2B,Sports,Tennessee Titans,Owner,Tennessee Titans,FALSE,,,"Nashville, Tennessee",United States,F,"Widowed, Remarried",3,"Bachelor of Arts, The University of Texas at Austin"
Will Adderley,52,$2B,Fashion & Retail,Home furnishings,businessman and founder,N/A,FALSE,,,"Rutland, United Kingdom",United Kingdom,M,N/A,N/A,N/A
David Adelman,52,$2B,Real Estate,"Real estate, asset management","CEO, Businessman, enterpreneur, CoFounder and Vice Chairman",Campus Apartments,TRUE,,,"Haverford, Pennsylvania",United States,M,Married,2,"Bachelor of Arts, The Ohio State University"
Michael Ashcroft,78,$2B,Finance & Investments,Security,"British-Belizean businessman, pollster and politician",N/A,TRUE,,,"Turks and Caicos Islands, Turks and Caicos Islands",United Kingdom,M,N/A,N/A,N/A
Joseph Bae,52,$2B,Finance & Investments,Private equity,"Co-Founder, co-chief",The Asian American Foundation,TRUE,,,"New York, New York",United States,M,Married,N/A,"Bachelor of Arts/Economics, Harvard University"
Travis Boersma,53,$2B,Food & Beverage,Coffee,CEO,Dutch Bros,TRUE,,,"Grants Pass, Oregon",United States,M,N/A,N/A,"Bachelor of Arts/Science, Southern Oregon University"
"Howard Butt, III. & family",72,$2B,Fashion & Retail,Supermarkets,CEO,H-E-B,FALSE,3,,"San Antonio, Texas",United States,M,Married,3,N/A
Stephen Butt & family,68,$2B,Fashion & Retail,Supermarkets,President,H-E-B's,FALSE,3,,N/A,United States,M,Married,N/A,"Bachelor of Arts/Science, Trinity University; Master of Business Administration, University of Texas at Austin"
Cai Huabo,48,$2B,Technology,Electronics,Chairperson,Shenzhen Longsys Electronics,TRUE,,,"Jiujiang, China",China,M,N/A,N/A,N/A
Jeffrey Cheah,79,$2B,Real Estate,"Property, healthcare","Malaysian entrepreneur, founder and current chairman",Sunway Group,TRUE,,,"Kuala Lumpur, Malaysia",Malaysia,M,Married,3,"Bachelor of Arts/Science, Victoria University"
Gary Chouest & family,79,$2B,Logistics,Shipping,Owner & President,Edison Chouest Offshore,FALSE,,,"Cut Off, Louisiana",United States,M,Married,5,N/A
Marcelo Claure,53,$2B,Telecom,Cell phone distribution,"Former CEO, technology entrepreneur, businessman, investor, founder and CEO",Sprint,TRUE,,,"Miami Beach, Florida",United States,M,Married,6,"Bachelor of Science, Bentley University"
Larry Connor & family,74,$2B,Real Estate,Real estate,Real Estate Investor,N/A,TRUE,,,"Miamisburg, Ohio",United States,M,Married,3,"Bachelor of Arts/Science, Ohio University"
Parker Conrad,43,$2B,Technology,Software,cofounder and CEO,Rippling,TRUE,,,"San Francisco, California",United States,M,Married,N/A,"Bachelor of Arts/Science, Harvard University"
Tim Cook,63,$2B,Technology,Apple,CEO,Apple,TRUE,,,"Cupertino, California",United States,M,N/A,N/A,"Master of Business Administration, Fuqua School of Business"
Alexandra Daitch,61,$2B,Food & Beverage,Cargill,owns an estimated 3%,Cargill,FALSE,1,,"Old Lyme, Connecticut",United States,F,Married,1,N/A
Tim Draper,65,$2B,Finance & Investments,cryptocurrency,"investor, founder, partner",Draper Goren Holm,FALSE,,,"Atherton, California",United States,M,Married,3,"Bachelor of Science, Stanford University, Master of Business Administration, Harvard University"
Christopher Goldsbury,81,$2B,Food & Beverage,Salsa,Chief Executive Officer,Silver Ventures,FALSE,,,"San Antonio, Texas",United States,M,Married,1,"Bachelor of Arts/Science, Trinity University"
Esther Grether,88,$2B,Fashion & Retail,Art collection,art collector and businesswoman,N/A,FALSE,,,"Basel, Switzerland",Switzerland,F,Widowed,2,N/A
Cynthia Helena Grossman Fleishman,69,$2B,Food & Beverage,Arca Continental,Owner,Grupo Continental,FALSE,,,Mexico,Mexico,F,N/A,N/A,N/A
Huang Yi,62,$2B,Automotive,Car dealerships,actress and singer,N/A,TRUE,,,"Beijing, China",Hong Kong,M,Married,N/A,"Bachelor of Arts/Science, Xiamen University"
Conni Jonsson,63,$2B,Finance & Investments,Asset management,"Managing Partner, Businessperson, Chairperson",N/A,TRUE,,,"Stockholm, Sweden",Sweden,M,Married,N/A,"Bachelor of Science, University of Linkoping"
David Kaplan,56,$2B,Finance & Investments,Finance,"columnist, co-hosts",N/A,TRUE,,,"Los Angeles, California",United States,M,Married,N/A,"Bachelor of Business Administration, University of Michigan"
Eugene Kaspersky,58,$2B,Technology,Software,CEO,Kaspersky Lab,TRUE,,,"Moscow, Russia",Russia,M,Married,5,"Master of Science, Institute of Cryptography, Telecommunications and Computer Science (FSB Academy)"
Kim Jun-ki,79,$2B,Diversified,Diversified,businessperson,N/A,TRUE,,,"Seoul, South Korea",South Korea,M,Widowed,3,"Bachelor of Arts/Economics, Korea University"
William Koch,83,$2B,Energy,"Oil, investments",businessman and sailor,N/A,FALSE,3,,"Palm Beach, Florida",United States,M,Married,6,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, Massachusetts Institute of Technology"
Koo Kwang-mo,46,$2B,Diversified,LG,"Chairperson, chief executive",LG,FALSE,,,"Seoul, South Korea",South Korea,M,Married,N/A,"Bachelor of Arts/Science, Rochester Institute of Technology"
Mustafa Kucuk,60,$2B,Fashion & Retail,Fashion retail,CEO,Tema Group,TRUE,,,"Istanbul, Turkey",Turkey,M,Married,3,N/A
Dominika Kulczyk,46,$2B,Finance & Investments,Diversified,Polish businesswoman,N/A,FALSE,,,"London, United Kingdom",Poland,F,Divorced,2,"Master, University of Poznan"
Edward Lampert,61,$2B,Finance & Investments,Sears,Founder,ESL Investments Inc.,TRUE,9,,"Miami Beach, Florida",United States,M,Married,3,"Bachelor of Arts/Science, Yale University"
Li Liufa & family,66,$2B,Diversified,"steel, diversified",Chairperson,Tianrui Group of China,TRUE,,,"Ruzhou, China",China,M,Married,N/A,"Master of Business Administration, Peking University"
David Lichtenstein,62,$2B,Real Estate,Real estate,"CEO, entrepreneur, real estate investor, founder",The Lightstone Group,TRUE,9,,"Monsey, New York",United States,M,Married,N/A,N/A
Lin Xiucheng & family,68,$2B,Technology,Electronics,N/A,N/A,TRUE,,,"Xiamen, China",China,M,Married,4,"Bachelor of Arts/Science, Xiamen University"
Marc Lipschultz,55,$2B,Finance & Investments,Private equity,Co-Chief Executive Officer,N/A,TRUE,,,"New York, New York",United States,M,N/A,N/A,"Bachelor of Arts, Stanford University, Master of Business Administration, Harvard University"
Edir Macedo & family,79,$2B,Media & Entertainment,broadcasting,"writer, billionaire businessman",Universal Church of the Kingdom of God,TRUE,,,"Atlanta, Georgia",Brazil,M,Married,3,"Degrees in Theology, Evangelical Faculty of Theology United Seminary, Degrees in Theology, Faculty of Theological Education of the State of São Paulo, Doctorate in Theology and Christian Philosophy, Honorary Degree in Divinity, Master's Degree in Theological Sciences, Federation of Evangelical Religious Entities of Spain"
Sarah MacMillan,70,$2B,Food & Beverage,Cargill,English comedian,N/A,FALSE,1,,"Los Angeles, California",United States,F,Divorced,3,N/A
Roberto Irineu Marinho,76,$2B,Media & Entertainment,Media,"businessman, co-owner, chairman and CEO",Grupo Globo,FALSE,,,"Rio de Janeiro, Brazil",Brazil,M,Married,4,N/A
Craig McCaw,74,$2B,Telecom,Telecom,businessman and entrepreneur,cellular phone industry,FALSE,5,,"Hunts Point, Washington",United States,M,Married,3,"Bachelor of Arts/Science, Stanford University"
David Mindus,52,$2B,Real Estate,Real estate,"CEO, founder",Sagax AB,TRUE,,,"Stockholm, Sweden",Sweden,M,Married,4,"Master of Business Administration, Stockholm University"
Kabir Mulchandani,51,$2B,Real Estate,Real estate,"Indian businessman, philanthropist, Founder and Chairman",N/A,FALSE,,,"Dubai, United Arab Emirates",India,M,Married,4,"Bachelor of Science, Stanford University"
Simon Nixon,56,$2B,Technology,Price comparison website,"co-founder, former deputy chairman",Moneysupermarket.com,TRUE,,,"St. Brelade, Jersey, United Kingdom",United Kingdom,M,Single,N/A,"Drop Out, Nottingham University"
Stephen Orenstein & family,60,$2B,Diversified,Supply chain services,Businessman,N/A,FALSE,,,"Frankfurt, Germany",United States,M,Married,N/A,N/A
Dragos Paval,57,$2B,Fashion & Retail,Retail,CEO,Dedeman,TRUE,,,"Bacau, Romania",Romania,M,Married,1,"Bachelor of Science, Alexandru Ioan Cuza University"
Victor Pinchuk,63,$2B,Metals & Mining,"Steel pipes, diversified",Ukrainian businessman and oligarch,N/A,TRUE,,,"Kiev, Ukraine",Ukraine,M,Married,4,"Doctorate, Dniepropetrovsk Metallurgical Institute"
Alexander Ponomarenko,59,$2B,Logistics,"Real estate, airport",Russian-Cypriot businessman and entrepreneur,N/A,TRUE,,,"Moscow, Russia",Russia,M,Married,3,"Master of Science, Russian State Academy of Management; Bachelor of Arts/Science, Simferopol State University"
Linda Pritzker,70,$2B,Service,"Hotels, investments","American author, spiritual teacher, author, philanthropist, and co-founder",Namchak Foundation,FALSE,1,,"Missoula, Montana",United States,F,Divorced,3,"Master of Arts, Antioch University"
M.Satyanarayana Reddy,66,$2B,Healthcare,Pharmaceuticals,founder and chairman,MSN group,TRUE,,,"Hyderabad, India",India,M,Married,2,"Doctorate, Osmania University"
Brian Roberts,64,$2B,Media & Entertainment,Comcast,CEO,Comcast,FALSE,,,"Philadelphia, Pennsylvania",United States,M,Married,3,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"
Raj Sardana,64,$2B,Technology,Technology services,founder and CEO,Innova Solutions,TRUE,,,"Atlanta, Georgia",United States,M,Married,3,"Bachelor of Engineering, Delhi College of Engineering, Master of Science, Georgia Institute of Technology, Advanced Management Program, University of Pennsylvania"
S.D. Shibulal,69,$2B,Technology,Software services,"Former CEO, chief executive officer and managing director",Infosys,TRUE,,,"Bangalore, India",India,M,Married,2,"Master of Science, Boston University"
Ben Silbermann,41,$2B,Media & Entertainment,Social media,Co-founder,Pinterest,TRUE,8,,"San Francisco, California",United States,M,Married,2,"Bachelor of Arts/Science, Yale University"
Abhay Soi,50,$2B,Healthcare,Healthcare,Entrepreneur and Chairman & Managing Director,Max Healthcare,TRUE,,,"Mumbai, India",India,M,Married,2,"Master of Business Administration, European University; Bachelor of Arts/Economics, St Stephen's College (India)"
Thomas Steyer,66,$2B,Finance & Investments,Hedge funds,American investor and businessman,N/A,TRUE,8,,"San Francisco, California",United States,M,Separated,4,"Master of Business Administration, Stanford University; Bachelor of Arts/Science, Yale University"
Lucy Stitzer,64,$2B,Food & Beverage,Cargill,American business executive,N/A,FALSE,2,,"Greenwich, Connecticut",United States,F,Married,3,"Bachelor of Arts, Hollins University"
Henry Swieca,66,$2B,Finance & Investments,Hedge funds,Founder,Talpion Fund Management,TRUE,,,"New York, New York",United States,M,Married,4,"Master of Business Administration, Columbia Business School; Bachelor of Arts/Science, SUNY Stony Brook"
Andrew Tan,72,$2B,Diversified,Diversified,President,Megaworld Corporation,TRUE,,,"Manila, Philippines",Philippines,M,Married,4,"Bachelor of Arts/Science, University of the East"
Masateru Uno & family,77,$2B,Fashion & Retail,Drugstores,"founder, chairman and CEO",Cosmos Pharmaceutical,TRUE,,,"Fukuoka, Japan",Japan,M,N/A,N/A,N/A
Pieter van der Does,54,$2B,Technology,Payments software,"CEO, Entrepreneur, co-founder",Adyen,TRUE,,,"Amsterdam, Netherlands",Netherlands,M,Married,N/A,"Bachelor of Arts, Clark University, Bachelor of Arts, Paris 1 Panthéon-Sorbonne University, Master of Science, University of Amsterdam"
Sandro Veronesi & family,64,$2B,Fashion & Retail,Fashion,president,Calzedonia,TRUE,,,"Milan, Italy",Italy,M,Married,N/A,"Bachelor of Arts/Science, University of Verona"
Wang Changtian,58,$2B,Media & Entertainment,"TV, movie production",chairs film maker,Beijing Enlight Media,TRUE,,,"Beijing, China",China,M,Married,N/A,"Bachelor of Arts/Science, Fudan University"
